longitude,latitude,fishing activity 2019_unreported_fishing,species richness 2019,stocks richness 2019,clusterid,risk
26.72,39.53,0.0,0.0,0.0,6.0,Very Low
0.22,39.03,496.58333333333303,511.0,61.0,0.0,Very High
0.72,39.03,11.00000000000001,320.0,51.0,2.0,High
1.22,39.03,278.75000000000006,545.0,62.0,0.0,Very High
1.72,39.03,421.8333333333331,552.0,62.0,0.0,Very High
2.22,39.03,483.0000000000008,442.0,61.0,1.0,Very High
2.72,39.03,519.2500000000001,599.0,64.0,0.0,Very High
3.22,39.03,736.333333333334,519.0,58.0,0.0,Very High
3.72,39.03,62.41666666666676,307.0,45.0,2.0,High
4.22,39.03,31.916666666666657,140.0,20.0,4.0,Moderate
4.72,39.03,24.250000000000007,133.0,20.0,4.0,Moderate
5.22,39.03,0.0,90.0,15.0,5.0,Very Low
5.72,39.03,0.0,71.0,11.0,5.0,Very Low
6.22,39.03,0.0,65.0,6.0,6.0,Very Low
6.72,39.03,0.0,73.0,8.0,5.0,Very Low
7.22,39.03,11.750000000000009,104.0,16.0,5.0,Very Low
7.72,39.03,328.0833333333338,316.0,48.0,2.0,High
8.22,39.03,179.83333333333346,516.0,61.0,0.0,Very High
9.22,39.03,607.4999999999998,445.0,55.0,1.0,Very High
9.72,39.03,46.41666666666673,496.0,57.0,1.0,Very High
10.22,39.03,0.0,164.0,27.0,4.0,Moderate
10.72,39.03,0.0,116.0,18.0,4.0,Moderate
11.22,39.03,1.7500000000000007,123.0,18.0,4.0,Moderate
11.72,39.03,0.0,113.0,19.0,4.0,Moderate
12.22,39.03,3.3333333333333353,100.0,13.0,5.0,Very Low
12.72,39.03,12.666666666666673,111.0,20.0,4.0,Moderate
13.22,39.03,103.4999999999999,70.0,6.0,6.0,Very Low
13.72,39.03,17.666666666666686,134.0,24.0,4.0,Moderate
14.22,39.03,23.416666666666693,186.0,31.0,3.0,Moderate
14.72,39.03,18.58333333333337,190.0,28.0,3.0,Moderate
15.22,39.03,64.08333333333334,175.0,22.0,4.0,Moderate
15.72,39.03,167.9166666666667,356.0,49.0,2.0,High
17.22,39.03,77.33333333333339,409.0,53.0,1.0,Very High
17.72,39.03,53.08333333333333,154.0,27.0,4.0,Moderate
18.22,39.03,23.58333333333336,108.0,16.0,5.0,Very Low
18.72,39.03,34.91666666666671,137.0,20.0,4.0,Moderate
19.22,39.03,5.500000000000001,186.0,29.0,3.0,Moderate
19.72,39.03,19.83333333333334,270.0,40.0,2.0,High
20.22,39.03,479.8333333333331,328.0,41.0,2.0,High
20.72,39.03,117.16666666666673,234.0,25.0,3.0,Moderate
23.22,39.03,1682.8333333333314,544.0,60.0,0.0,Very High
23.72,39.03,43.16666666666666,495.0,60.0,1.0,Very High
24.22,39.03,52.083333333333385,533.0,60.0,0.0,Very High
24.72,39.03,250.83333333333334,398.0,55.0,1.0,Very High
25.22,39.03,640.500000000001,402.0,55.0,1.0,Very High
25.72,39.03,716.0833333333338,499.0,62.0,0.0,Very High
26.72,39.03,604.5000000000003,422.0,57.0,1.0,Very High
0.22,38.53,2175.083333333333,627.0,64.0,0.0,Very High
0.72,38.53,316.333333333334,438.0,60.0,1.0,Very High
1.22,38.53,307.0000000000003,590.0,64.0,0.0,Very High
1.72,38.53,534.7500000000005,574.0,61.0,0.0,Very High
2.22,38.53,68.66666666666669,363.0,56.0,1.0,Very High
2.72,38.53,151.58333333333326,328.0,48.0,2.0,High
3.22,38.53,121.16666666666666,157.0,22.0,4.0,Moderate
3.72,38.53,5.9166666666666705,128.0,24.0,4.0,Moderate
4.22,38.53,12.666666666666684,115.0,20.0,4.0,Moderate
4.72,38.53,0.0,94.0,16.0,5.0,Very Low
5.22,38.53,0.0,74.0,12.0,5.0,Very Low
5.72,38.53,0.0,61.0,6.0,6.0,Very Low
6.22,38.53,0.0,62.0,6.0,6.0,Very Low
6.72,38.53,0.0,69.0,9.0,5.0,Very Low
7.22,38.53,4.166666666666668,81.0,11.0,5.0,Very Low
7.72,38.53,154.0833333333333,219.0,31.0,3.0,Moderate
8.22,38.53,567.5833333333335,340.0,51.0,2.0,High
8.72,38.53,1099.4166666666658,508.0,56.0,0.0,Very High
9.22,38.53,612.2500000000001,397.0,55.0,1.0,Very High
9.72,38.53,298.41666666666663,320.0,50.0,2.0,High
10.22,38.53,4.916666666666667,219.0,35.0,3.0,Moderate
10.72,38.53,107.5833333333333,254.0,38.0,3.0,Moderate
11.22,38.53,0.5000000000000006,230.0,36.0,3.0,Moderate
11.72,38.53,56.41666666666666,240.0,32.0,3.0,Moderate
12.22,38.53,118.83333333333323,207.0,28.0,3.0,Moderate
12.72,38.53,86.66666666666652,208.0,33.0,3.0,Moderate
13.22,38.53,223.41666666666703,240.0,31.0,3.0,Moderate
13.72,38.53,43.00000000000001,162.0,21.0,4.0,Moderate
14.22,38.53,3.9166666666666705,217.0,33.0,3.0,Moderate
14.72,38.53,42.33333333333334,270.0,42.0,2.0,High
15.22,38.53,65.25000000000001,265.0,43.0,2.0,High
15.72,38.53,321.41666666666674,443.0,55.0,1.0,Very High
16.72,38.53,114.49999999999997,463.0,54.0,1.0,Very High
17.22,38.53,40.500000000000014,339.0,47.0,2.0,High
17.72,38.53,11.583333333333346,123.0,21.0,4.0,Moderate
18.22,38.53,0.0,76.0,9.0,5.0,Very Low
18.72,38.53,0.0,112.0,17.0,4.0,Moderate
19.22,38.53,0.41666666666666696,99.0,11.0,5.0,Very Low
19.72,38.53,3.666666666666673,82.0,10.0,5.0,Very Low
20.22,38.53,268.83333333333326,94.0,10.0,5.0,Very Low
20.72,38.53,528.9166666666669,346.0,41.0,2.0,High
24.72,38.53,32.41666666666666,518.0,60.0,0.0,Very High
25.22,38.53,181.25000000000023,374.0,57.0,1.0,Very High
25.72,38.53,463.3333333333321,473.0,63.0,0.0,Very High
26.22,38.53,2377.9166666666647,502.0,59.0,0.0,Very High
26.72,38.53,3546.4166666666674,461.0,58.0,0.0,Very High
-0.28,38.03,4596.916666666677,643.0,66.0,0.0,Very High
0.22,38.03,1425.2499999999984,494.0,62.0,0.0,Very High
